Title,Rating,Overview
Game of Thrones,9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia."
Breaking Bad,9.5,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
Stranger Things,8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
The Walking Dead,8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
Friends,8.9,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.
Sherlock,9.1,"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's introduced to Holmes by a mutual acquaintance."
The Big Bang Theory,8.2,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
Dexter,8.7,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them."
How I Met Your Mother,8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
The Office,9.0,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
True Detective,8.9,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
Black Mirror,8.7,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Peaky Blinders,8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
Better Call Saul,9.0,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Lost,8.3,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
The Boys,8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
Rick and Morty,9.1,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Prison Break,8.3,"A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside."
Vikings,8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean."
The Mandalorian,8.7,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
The Witcher,8.1,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
Westworld,8.5,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence."
House of Cards,8.7,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
Money Heist,8.2,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
Squid Game,8.0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes: a survival game that has a whopping 45.6 billion-won prize at stake."
House M.D.,8.7,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
Supernatural,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
Daredevil,8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Modern Family,8.5,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Narcos,8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
Arrow,7.5,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
The Last of Us,8.8,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
